id,chinese,english,math,pass
1,26,16,31,0
2,9,71,20,0
3,75,44,59,0
4,36,16,62,0
5,40,65,36,0
6,46,31,80,0
7,2,12,19,0
8,25,43,38,0
9,71,86,86,1
10,90,78,48,1
11,22,2,84,0
12,57,92,58,0
13,78,94,26,1
14,81,87,55,1
15,31,52,72,0
16,62,6,18,0
17,76,63,63,1
18,74,33,99,1
19,32,25,7,0
20,86,84,22,1
21,42,42,53,0
22,9,55,66,0
23,68,69,48,1
24,74,36,64,1
25,67,20,31,0
26,96,58,32,0
27,28,42,8,0
28,30,2,19,0
29,74,8,71,1
30,40,9,17,0
31,33,2,30,0
32,81,55,77,1
33,27,10,50,0
34,72,11,98,1
35,73,44,79,1
36,82,41,70,1
37,7,55,37,0
38,29,29,77,0
39,75,48,94,1
40,63,26,88,1
41,59,10,84,0
42,87,31,35,0
43,82,17,79,1
44,1,88,86,1
45,13,27,7,0
46,21,10,76,0
47,80,55,42,0
48,36,77,93,1
49,55,90,32,0
50,89,41,48,0
51,86,15,18,0
52,43,38,75,0
53,88,15,60,1
54,43,63,56,0
55,73,50,21,0
56,40,48,77,0
57,45,17,77,0
58,99,43,88,1
59,92,57,57,0
60,64,17,38,0
61,29,96,99,1
62,85,55,95,1
63,77,95,19,1
64,24,74,96,1
65,25,76,48,0
66,33,50,79,0
67,34,25,53,0
68,57,79,90,1
69,35,87,70,1
70,2,19,29,0
71,37,27,27,0
72,97,22,98,1
73,76,35,56,0
74,65,44,87,1
75,9,95,68,1
76,90,3,73,1
77,20,30,93,0
78,32,71,13,0
79,49,95,77,1
80,35,28,56,0
81,39,38,50,0
82,64,54,89,1
83,90,43,46,0
84,55,68,28,0
85,46,67,49,0
86,92,42,7,0
87,19,56,14,0
88,41,30,73,0
89,18,33,13,0
90,52,42,74,0
91,43,79,73,1
92,33,44,58,0
93,91,19,84,1
94,1,57,85,0
95,59,53,27,0
96,27,45,40,0
97,52,27,28,0
98,5,96,7,0
99,3,29,98,0
100,77,47,10,0
101,73,25,95,1
102,35,98,13,0
103,69,25,26,0
104,59,17,15,0
105,69,45,73,1
106,83,88,77,1
107,46,87,11,0
108,5,93,41,0
109,53,85,43,0
110,70,78,84,1
111,11,7,42,0
112,44,98,44,0
113,26,65,46,0
114,93,21,54,0
115,80,95,46,1
116,14,20,93,0
117,94,49,93,1
118,1,31,77,0
119,84,93,86,1
120,71,25,62,1
121,6,77,5,0
122,34,47,97,0
123,33,95,10,0
124,7,24,5,0
125,11,75,55,0
126,31,13,3,0
127,27,5,3,0
128,20,77,78,1
129,14,71,77,1
130,39,23,16,0
131,74,75,90,1
132,27,34,72,0
133,2,29,15,0
134,69,77,84,1
135,15,63,94,1
136,75,45,61,1
137,15,30,33,0
138,93,80,99,1
139,52,6,11,0
140,85,35,36,0
141,32,52,45,0
142,3,73,37,0
143,48,60,80,1
144,99,15,0,0
145,92,49,32,0
146,26,45,72,0
147,81,44,40,0
148,34,23,86,0
149,5,97,12,0
150,68,6,35,0
151,84,37,33,0
152,50,0,69,0
153,92,25,44,0
154,1,23,26,0
155,85,20,36,0
156,11,34,46,0
157,62,74,32,1
158,28,15,26,0
159,11,46,15,0
160,77,21,32,0
161,87,82,49,1
162,78,25,6,0
163,47,70,81,1
164,67,84,31,1
165,7,34,27,0
166,18,27,62,0
167,63,23,87,1
168,2,43,73,0
169,9,85,27,0
170,31,19,60,0
171,11,72,61,1
172,78,91,31,1
173,32,64,60,1
174,29,9,54,0
175,76,69,33,1
176,57,80,53,0
177,76,65,14,1
178,55,97,77,1
179,94,53,25,0
180,36,37,58,0
181,16,32,53,0
182,18,93,8,0
183,45,27,45,0
184,87,66,75,1
185,33,58,24,0
186,36,87,53,0
187,93,62,46,1
188,7,58,9,0
189,26,89,68,1
190,30,16,32,0
191,26,42,78,0
192,66,56,36,0
193,53,12,48,0
194,58,14,11,0
195,34,33,15,0
196,32,28,29,0
197,16,32,98,0
198,95,65,85,1
199,98,39,58,0
200,94,5,73,1
201,17,52,68,0
202,12,74,30,0
203,40,33,58,0
204,55,26,96,0
205,70,100,19,1
206,36,73,15,0
207,74,84,18,1
208,17,89,74,1
